data,categoria,produto,quantidade,receita
2025-01-01,Livros,Técnico,5,420.47
2025-01-01,Casa,Sofá,1,1981.68
2025-01-02,Casa,Luminária,2,309.19
2025-01-04,Eletrônicos,Smart TV,6,14970.56
2025-01-04,Vestuário,Jaqueta,5,1414.9
2025-01-05,Livros,Infantil,2,68.06
2025-01-05,Eletrônicos,Smart TV,5,11716.02
2025-01-05,Casa,Cortina,6,1230.3
2025-01-05,Eletrônicos,Fone,1,169.25
2025-01-06,Vestuário,Camiseta,5,229.29
2025-01-07,Vestuário,Jeans,5,672.94
2025-01-07,Livros,Negócios,5,300.41
2025-01-08,Livros,Infantil,3,101.03
2025-01-08,Vestuário,Tênis,6,1368.22
2025-01-08,Vestuário,Jaqueta,7,2401.96
2025-01-09,Eletrônicos,Notebook,3,10016.23
2025-01-10,Livros,Técnico,4,387.0
2025-01-10,Livros,Ficção,3,149.84
2025-01-10,Livros,Negócios,4,239.57
2025-01-11,Casa,Sofá,7,14277.37
2025-01-11,Casa,Sofá,4,7028.7
2025-01-11,Livros,Ficção,2,102.8
2025-01-12,Livros,Técnico,6,530.73
2025-01-12,Livros,Ficção,4,193.32
2025-01-13,Eletrônicos,Smartphone,3,4481.34
2025-01-13,Eletrônicos,Smartphone,7,11540.53
2025-01-13,Eletrônicos,Fone,3,491.62
2025-01-14,Casa,Cortina,6,1105.86
2025-01-15,Eletrônicos,Fone,5,883.96
2025-01-16,Casa,Mesa,7,4636.5
2025-01-17,Livros,Ficção,1,45.17
2025-01-17,Eletrônicos,Notebook,4,11533.31
2025-01-17,Eletrônicos,Notebook,2,6522.18
2025-01-18,Eletrônicos,Notebook,6,21122.3
2025-01-18,Casa,Sofá,6,10855.79
2025-01-20,Casa,Luminária,6,821.3
2025-01-20,Casa,Sofá,6,9755.09
2025-01-20,Vestuário,Tênis,1,244.48
2025-01-20,Casa,Sofá,4,7374.26
2025-01-22,Vestuário,Tênis,4,913.85
2025-01-22,Vestuário,Jeans,5,591.43
2025-01-23,Casa,Cortina,5,1122.53
2025-01-23,Livros,Negócios,6,394.26
2025-01-23,Livros,Negócios,3,188.95
2025-01-24,Livros,Técnico,5,439.65
2025-01-25,Eletrônicos,Notebook,3,10179.3
2025-01-25,Eletrônicos,Notebook,7,24557.2
2025-01-25,Casa,Sofá,1,1930.99
2025-01-26,Vestuário,Jeans,5,582.17
2025-01-26,Vestuário,Jaqueta,7,1901.45
2025-01-26,Vestuário,Jeans,4,442.24
2025-01-27,Eletrônicos,Notebook,7,21123.32
2025-01-27,Vestuário,Jeans,1,120.15
2025-01-27,Casa,Sofá,1,1764.73
2025-01-27,Casa,Mesa,7,4496.65
2025-01-28,Eletrônicos,Smart TV,7,15676.24
2025-01-30,Livros,Infantil,5,173.82
